"id","ph","k","ca","mg","acidez","p","fe","cu","zn","mn","sat_aci","latitud","longitud","ordenes","suborden"
77,"4.46","0.09","1.4","1.3","1","1","64","4","0.9","14","26","10.36993","-83.91758","ULTISOLES / INCEPTISOLES","Udults / Udepts"
86,"4.7","0.19","0.3","0.6","2.2","8","126","9","2.6","15","67","10.383682","-83.962812","ULTISOLES / INCEPTISOLES","Udults / Udepts"
87,"4.6","0.23","0.4","0.7","2.9","5","161","11","2.7","22","69","10.383682","-83.962812","ULTISOLES / INCEPTISOLES","Udults / Udepts"
88,"5.2","0.14","0.7","0.6","0.8","3","65","2","2.2","3","36","10.38107","-83.899234","ULTISOLES / INCEPTISOLES","Udults / Udepts"
89,"5","0.18","0.9","0.7","1","10","82","2","1.7","4","36","10.38107","-83.899234","ULTISOLES / INCEPTISOLES","Udults / Udepts"
90,"5.5","0.13","0.9","0.6","0.5","6","54","2","1.4","2","23","10.38107","-83.899234","ULTISOLES / INCEPTISOLES","Udults / Udepts"
91,"5.55","0.75","3.85","0.8","0.25","2","29.5","1.5","0.75","1.5","4.475","10.32283087","-83.86814837","INCEPTISOLES","Udepts"
92,"6","1.2","7.6","1.95","0.15","10.5","98","4.5","1.15","5","1.39","10.2966139","-83.87092625","ANDISOLES","Udands"
93,"5.3","0.15","6","1.35","0.3","2","46","1","0.65","2.5","4.18","10.27132749","-83.89241619","INCEPTISOLES","Udepts"
94,"5.1","0.1","2.65","0.65","0.425","2","46.5","1.5","0.85","3","11.23","10.24827042","-83.89199232","ANDISOLES","Udands"
95,"5.1","0.1","5.7","1.1","0.45","2","233","4","1","12","6.12","10.2252277","-83.90206499","INCEPTISOLES","Udepts"
96,"4.9","0.15","4.1","1.35","1.65","2","138.5","8.5","3.5","27","23.325","10.22207471","-83.91074026","INCEPTISOLES","Udepts"
97,"4.85","0.095","2.55","0.6","1.55","2","210","6.5","1.1","7","32.33","10.27724017","-83.91888164","INCEPTISOLES","Udepts"
98,"5.35","0.115","5.65","1.35","0.3","2","66.5","4","0.8","9","4.145","10.26310938","-83.83765687","INCEPTISOLES","Udepts"
99,"5.3","0.06","3.85","0.65","0.35","2","61","2.5","0.6","2.5","7.205","10.21618963","-83.9048156","INCEPTISOLES","Udepts"
100,"4.95","0.055","2.95","1","0.95","2","108.5","8","1.9","14","18.39","10.29625669","-83.94168004","INCEPTISOLES","Udepts"
101,"4.9","0.295","3.6","1.05","1.3","2","201","11","1.6","14","23.04","10.33146989","-83.90328786","ULTISOLES / INCEPTISOLES","Udults / Udepts"
102,"4.7","0.07","1.6","0.65","2.25","4.5","264.5","9.5","2.85","37","49.16","10.25785762","-83.96546184","INCEPTISOLES","Udepts"
103,"4.8","0.075","2.6","0.65","1","5","238.5","15","1.25","13","27.87","10.29711996","-83.90972579","INCEPTISOLES","Udepts"
104,"5.25","0.05","3.7","1.65","0.3","2","255","11.5","1.45","30","6.47","10.32246457","-83.93114743","ULTISOLES / INCEPTISOLES","Udults / Udepts"
105,"4.9","0.045","2.25","0.6","1.5","3","429.5","9.5","0.7","16.5","34.25","10.24381461","-83.94174579","INCEPTISOLES","Udepts"
